title,date_reprise,date_sortie,duration,director,actors,genre,nationality,press_rating,nb_press,spec_rating,nb_spec
Spider-Man: No Way Home,2021,15 décembre 2021,2h29min,"['Chris McKenna', 'Erik Sommers']","['Tom Holland', 'Zendaya', 'Benedict Cumberbatch']","['Action,', 'Aventure,', 'Fantastique']",['américain'],"3,3",25,"4,2",9256
The King's Man : Première Mission,2021,29 décembre 2021,2h11min,"['Matthew Vaughn', 'Karl Gajdusek']","['Ralph Fiennes', 'Gemma Arterton', 'Rhys Ifans']","['Action,', 'Espionnage']",['britannique'],"3,1",17,"3,6",2102
Matrix Resurrections,2021,22 décembre 2021,2h28min,"['Lana Wachowski', 'David Mitchell']","['Keanu Reeves', 'Carrie-Anne Moss', 'Yahya Abdul-Mateen II']","['Science', 'fiction,', 'Action']",['américain'],"3,4",28,"2,6",4434
En Attendant Bojangles,2020,5 janvier 2022,2h05min,"['Romain Compingt', 'Regis Roinsard']","['Virginie Efira', 'Romain Duris', 'Solan Machado-Graner']","['Comédie', 'dramatique']","['français,', 'belge']","2,9",28,"3,8",1064
Don’t Look Up: Déni cosmique,2021,24 décembre 2021,2h22min,['Adam McKay'],"['Leonardo DiCaprio', 'Jennifer Lawrence', 'Meryl Streep']",['Comédie'],['américain'],"3,9",27,"3,9",6095
Tous en scène 2,2021,22 décembre 2021,1h50min,['Garth Jennings'],"['Jenifer Bartoli', 'Elodie Martelet', 'Camille Combal']","['Animation,', 'Comédie', 'musicale,', 'Famille']",['américain'],"3,5",20,"4,3",1277
"Encanto, la fantastique famille Madrigal",2021,24 novembre 2021,1h43min,"['Jared Bush', 'Charise Castro Smith']","['Camille Timmerman', 'José Garcia', 'Juan Arbelaez']","['Animation,', 'Famille,', 'Fantastique,', 'Comédie']",['américain'],"3,7",17,"3,8",2430
West Side Story,2021,8 décembre 2021,2h37min,"['Tony Kushner', 'Arthur Laurents']","['Ansel Elgort', 'Rachel Zegler', 'Ariana DeBose']","['Romance,', 'Musical,', 'Drame']",['américain'],"4,0",35,"4,2",2548
Un héros,2021,15 décembre 2021,2h07min,['Asghar Farhadi'],"['Amir Jadidi', 'Mohsen Tanabandeh', 'Sahar Goldust']","['Thriller,', 'Drame']","['iranien,', 'français']","4,0",31,"3,9",872
355,2021,5 janvier 2022,2h03min,"['Theresa Rebeck', 'Simon Kinberg']","['Jessica Chastain', 'Penélope Cruz', 'Bingbing Fan']","['Action,', 'Espionnage,', 'Thriller']",['américain'],"2,8",4,"3,0",462
Mystère,2019,15 décembre 2021,1h23min,"['Denis Imbert', 'Mathieu Oullion']","['Vincent Elbaz', 'Shanna Keil', 'Marie Gillain']","['Aventure,', 'Famille']",['français'],"3,0",5,"3,8",487
Licorice Pizza,2021,5 janvier 2022,2h13min,['Paul Thomas Anderson'],"['Alana Haim', 'Cooper Hoffman', 'Bradley Cooper']","['Drame,', 'Comédie,', 'Romance']",['américain'],"4,5",34,"3,8",1149
