time,measure,cumul_measure,total_by_period,cumul_by_period,unit_of_measurement,deviceId,year,month,day
2023-01-19,CO2_PRODUCED,CO2_PRODUCED_CUMULATED_DAILY,1320525.188,1320525.188,grams,20210301-audioptic-clamart,2023,1,19
2023-01-20,CO2_PRODUCED,CO2_PRODUCED_CUMULATED_DAILY,4665552.17,5986077.358,grams,20210301-audioptic-clamart,2023,1,20
2023-01-21,CO2_PRODUCED,CO2_PRODUCED_CUMULATED_DAILY,3579444.492,9565521.85,grams,20210301-audioptic-clamart,2023,1,21
2023-01-22,CO2_PRODUCED,CO2_PRODUCED_CUMULATED_DAILY,3471175.737,13036697.587,grams,20210301-audioptic-clamart,2023,1,22
2023-01-23,CO2_PRODUCED,CO2_PRODUCED_CUMULATED_DAILY,6197606.938,19234304.525,grams,20210301-audioptic-clamart,2023,1,23
2023-01-24,CO2_PRODUCED,CO2_PRODUCED_CUMULATED_DAILY,3954214.204,23188518.729,grams,20210301-audioptic-clamart,2023,1,24
2023-01-25,CO2_PRODUCED,CO2_PRODUCED_CUMULATED_DAILY,4432403.075,27620921.803999998,grams,20210301-audioptic-clamart,2023,1,25
2023-01-26,CO2_PRODUCED,CO2_PRODUCED_CUMULATED_DAILY,3553116.164,31174037.968,grams,20210301-audioptic-clamart,2023,1,26
2023-01-27,CO2_PRODUCED,CO2_PRODUCED_CUMULATED_DAILY,3356600.963,34530638.931,grams,20210301-audioptic-clamart,2023,1,27
2023-01-28,CO2_PRODUCED,CO2_PRODUCED_CUMULATED_DAILY,3850188.679,38380827.61,grams,20210301-audioptic-clamart,2023,1,28
2023-01-29,CO2_PRODUCED,CO2_PRODUCED_CUMULATED_DAILY,4616121.0370000005,42996948.647,grams,20210301-audioptic-clamart,2023,1,29
2023-01-30,CO2_PRODUCED,CO2_PRODUCED_CUMULATED_DAILY,3348243.235,46345191.882,grams,20210301-audioptic-clamart,2023,1,30
2023-01-31,CO2_PRODUCED,CO2_PRODUCED_CUMULATED_DAILY,2865287.298,49210479.18,grams,20210301-audioptic-clamart,2023,1,31
